id,first_name,book_name,genre,date
491,Cordy,The Midnight Garden,Mystery,2025-04-15
492,Maurizio,Mysteries of the Sea,Science Fiction,2025-06-11
493,Raven,The Hidden Path,Thriller,2024-11-03
494,Hamish,Whispers in the Wind,Thriller,2025-03-15
495,Jorie,The Emerald Isle,Science Fiction,2025-06-06
496,Rolando,The Midnight Garden,Thriller,2025-02-11
497,Brice,Whispers of the Heart,Fantasy,2025-06-23
498,Frayda,The Enchanted River,Thriller,2024-12-14
499,Harman,The Forgotten City,Science Fiction,2024-11-04
500,Sheffield,The Lost City,Fantasy,2025-04-24
